depth,magnitude_a,time,latitude,longitude
33,5.2,1985110905024, 27503 , 140353 
33,5.2,19851109055527.7, 27520 , 140369 
52.4,5.2,19851111184347.4, 33087 , 140431 
9,5,19851115021543.7, 29199 , 129590 
0,5.3,19851115205622.5, 44082 , 147408 
134.1,5.3,19851119230334.8, 28358 , 129013 
10,5,19851121191937, 45150 , 149352 
68,5,19851124152644.4, 34255 , 141556 
43,5.7,1985112619054.7, 24083 , 125167 
11.1,5.2,19851127090158.1, 35369 , 135448 
30.3,5.2,19851202100332.2, 27547 , 129385 
30.7,5.7,19851202161437.7, 41079 , 139553 
436,6,19851203091215.2, 27035 , 140466 
10,5.3,19851206175536.4, 44362 , 148183 
158.6,5.2,19851207053926, 43038 , 141067 
119.3,5.3,19851210202055.9, 43545 , 146486 
28.8,5.1,19851219015351.8, 32042 , 132119 
64,5.1,19851221191041.8, 24516 , 125489 
88,5.3,19830103201122.7, 44034 , 147427 
65,5.3,19830104160312.7, 42148 , 142466 
0,5.1,19830104184011, 32526 , 142035 
60,5.4,19830106212949.6, 44007 , 148167 
52,5,19830108031859.2, 36054 , 139539 
10,5.4,1983011400057, 44044 , 148133 
434,5.8,19830115093935.2, 33178 , 136022 
49,5.3,19830117205530.2, 26201 , 128198 
44,5.1,19830120214533.4, 28438 , 142216 
76,5,19830121192553.5, 42255 , 143006 
516,5.7,19830124074020.9, 27442 , 141012 
60,5.5,19830125013458.6, 29309 , 143153 
0,5,19830127130512.7, 44075 , 147548 
446,5.4,19830129000536.7, 28489 , 139578 
38,5.1,1983012911447.6, 36386 , 141384 
34,5.6,19830131074541.4, 33332 , 140541 
0,5.2,19830205220943.6, 44112 , 147398 
416,5,1983020806269, 33448 , 136048 
33,5,19830216074519.1, 28121 , 129393 
10,5.1,1983022203273.4, 45356 , 148523 
34,5,19830226120124.9, 31546 , 131524 
72,6,19830227211420.7, 35564 , 140091 
0,5.8,19830228144425.4, 44074 , 147417 
0,5.1,19830304024259.3, 39292 , 143297 
0,5.7,19830304231133.8, 39274 , 143306 
8,5,19830306063218.5, 35417 , 136014 
0,6,19830310092749.7, 43427 , 147083 
50,5.1,1983031405209.5, 41351 , 142006 
40,5.7,19830316022725.8, 34476 , 137367 
121,5.2,19830318045930.5, 41465 , 140500 
13,5.2,19830318091835.8, 44016 , 139248 
54,5.2,19830329041758, 26197 , 127237 
390,5,19830331222445.5, 34210 , 135590 
63,5.4,19830411032932.6, 30544 , 142338 
40,5.5,19830412003456.9, 44069 , 147394 
157,5.4,19830427002642.6, 24019 , 123132 
76,6.4,19830430230348.4, 41291 , 144021 
60,5.1,19830430230817.8, 41260 , 144002 
59,5,1983050100577.9, 41286 , 144031 
